property,type,description,example
identifier,string,NASA Mission ID,RR1
name,string,NASA Mission Name,Rodent Research 1
organism,string,Organism Sampled,Mus musculus
assays,string[],Assays studied on mission,protein expression profiling|RNA methylation profiling|DNA methylation profiling|transcription profiling
