from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,17776,0.017798438,0.185290003,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,70186,0.022791032,0.164198625,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,240843,0.006845813,0.804668291,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68312,1.35e-07,0.740939648,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,53867,0.047597474,0.624246168,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16795,0.023098181,0.226465294,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14389,0.043807469,0.313310387,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12798,0.006090719,0.656064977,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,79221,0.002234406,0.484688,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67900,0.000485944,0.302591189,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18505,0.012728499,0.653916454,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18008,5.56e-12,0.69944921,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15507,0.020456659,0.461256988,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,23921,1.4e-05,0.744551923,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22388,5.5e-19,0.750394872,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12224,0.048921886,0.227644643,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21672,0.022326521,0.194999337,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20415,0.019624203,1.497884687,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66442,0.011079074,1.520171056,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17218,0.037109348,0.550803684,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68278,0.003417683,0.242498497,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,81489,0.010052373,0.410356798,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17768,0.017323932,0.303552787,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11717,0.035322512,0.189426877,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22785,0.000151536,0.294089871,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66409,0.043253642,0.137028451,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71382,0.024663309,0.31343371,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,96875,0.011099696,0.960544274,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,29818,0.003916721,0.980793463,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13859,0.025646073,0.179429686,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,107995,0.034622048,1.166439162,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,240913,6.5e-17,1.841424857,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19205,0.036635435,0.21906018,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,192156,0.009250864,0.40660166,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13057,0.002560227,0.51242153,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16573,0.022809832,0.188685173,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74407,0.044087012,1.163305239,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,114584,0.023576175,0.353223901,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56788,0.009853949,0.764999793,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,329727,0.003094183,0.264533635,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,241296,0.004440664,0.263624876,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12048,0.020002143,0.390082477,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13371,0.000294252,1.235681521,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14200,0.030334266,0.524418131,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,320100,0.007394923,0.376477859,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,52502,0.017472526,0.223189337,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,108841,4.8e-05,0.477913815,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67771,0.005580945,0.351937665,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15184,0.001969127,0.226405299,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14390,0.00025988,0.204191181,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,223693,0.002627788,0.313613627,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11764,0.032020757,0.162748346,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,76964,2.57e-05,2.4028837,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22213,2.93e-05,0.304017016,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,240638,0.020109486,0.517883447,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20965,0.006023169,0.641235173,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18301,0.048921886,0.398935456,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22221,0.047407872,0.210952057,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74137,0.027664167,0.482144945,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67680,0.025063778,0.148477483,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,84682,0.000551831,0.732388124,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,76267,0.000127453,0.458255937,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,105785,0.006861001,0.513908285,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18263,1.09e-05,0.551066025,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18648,0.000929546,0.280519469,spaceflight_v_ground_control,spaceflight,ground_control
