property,type,description,example
from,string,Unique identifier for Study,GLDS-98
to,string,Unique identifier for MouseProtein,Q9D7Y7
adj_p_value,float,Adjusted P-Value,9.24e-08
log2fc,float,Log2 Fold Change,3.42
factor,string,Factors Analyzed,spaceflight_v_ground_control
factor_1,string,First Factor,spaceflight
factor_2,string,Second Factor,ground_control
