property,type,description,example
from,string,Unique identifier for Study,GLDS-99
to,string,Unique identifier for MouseGene,14679
adj_p_value,float,Adjusted P-Value,0.00975889
log2fc,float,Log2 Fold Change,0.220241994
factor,string,Factors Analyzed,spaceflight_v_ground_control
factor_1,string,First Factor,spaceflight
factor_2,string,Second Factor,ground_control
