property,type,description,example
from,string,Unique identifier for Study,GLDS-98
to,string,Unique identifier for MouseProtein,A0A087WS43
adj_p_value,float,Adjusted P-Value,9.51e-05
log2fc,float,Log2 Fold Change,-3.01
factor,string,Factors Analyzed,spaceflight_v_ground_control
factor_1,string,First Factor,spaceflight
factor_2,string,Second Factor,ground_control
