from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,50874,2.65e-06,-0.379648746,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19293,0.035322512,-0.279038395,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,59010,0.023354963,-0.156682522,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56046,0.024596225,-0.183442646,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66989,0.042070927,-0.184302892,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68015,6.86e-07,-0.229726148,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71723,0.005320925,-0.305916217,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,108124,0.008438959,-0.183058554,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19062,0.000206935,-0.253354087,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68916,0.04733454,-0.146214659,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,75410,0.008414654,-0.228296787,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,81018,6.81e-05,-0.335277803,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11474,5.47e-06,-0.395479424,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,329562,0.000700752,-0.562993471,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,52028,0.02023281,-0.476293323,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,78797,0.036230029,-0.3403439,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74443,0.008360438,-0.354404735,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71983,0.000120251,-0.471475497,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14055,1.03e-06,-0.318197152,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66180,0.02386361,-0.355356783,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,193742,0.011147214,-0.228789868,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18973,0.04070287,-0.302857087,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20907,0.041209632,-0.981387578,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17203,0.039816213,-0.34378726,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,28113,0.004249578,-0.291074895,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,70359,0.011648698,-0.21692991,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,328365,0.011105285,-0.175593457,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21393,0.00175845,-0.342464754,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,208982,0.044150367,-0.836127617,spaceflight_v_ground_control,spaceflight,ground_control
